_id,Year,HBR,HBRQF,AgeGroup,AgeGroupQF,Sex,SexQF,Diagnosis,NumberOfDeaths,NumberOfDeathsQF,CrudeRate,CrudeRateQF,EASR
48,2013,S08000022,"",75plus years,"",Females,"",Cerebrovascular Disease,161,"",935.285232949924,"",910.9288745836052
49,2013,S08000024,"",0-44 years,"",Males,"",Cerebrovascular Disease,4,"",1.60900398630738,"",1.7089743364044638
50,2013,S08000024,"",0-44 years,"",Females,"",Cerebrovascular Disease,4,"",1.59013480367798,"",1.6755405549460816
51,2013,S08000024,"",45-64 years,"",Males,"",Cerebrovascular Disease,24,"",22.5035161744023,"",23.47478360627556
52,2013,S08000024,"",45-64 years,"",Females,"",Cerebrovascular Disease,18,"",16.3299373111851,"",16.9955070928837
53,2013,S08000024,"",65-74 years,"",Males,"",Cerebrovascular Disease,34,"",100.407536471561,"",100.35725812442408
54,2013,S08000024,"",65-74 years,"",Females,"",Cerebrovascular Disease,30,"",78.3392087739914,"",81.01108463690043
55,2013,S08000024,"",75plus years,"",Males,"",Cerebrovascular Disease,158,"",662.89070694357,"",753.3675222990531
56,2013,S08000024,"",75plus years,"",Females,"",Cerebrovascular Disease,290,"",790.212267364233,"",759.778709546311
57,2013,S08000025,"",0-44 years,"",Males,"",Cerebrovascular Disease,,c,,c,22.668619655436977
58,2013,S08000025,"",0-44 years,"",Females,"",Cerebrovascular Disease,0,"",0,"",0
59,2013,S08000025,"",45-64 years,"",Males,"",Cerebrovascular Disease,0,"",0,"",0
60,2013,S08000025,"",45-64 years,"",Females,"",Cerebrovascular Disease,,c,,c,29.949086552860138
61,2013,S08000025,"",65-74 years,"",Males,"",Cerebrovascular Disease,,c,,c,81.12273870365864
62,2013,S08000025,"",65-74 years,"",Females,"",Cerebrovascular Disease,,c,,c,76.19047619047619
63,2013,S08000025,"",75plus years,"",Males,"",Cerebrovascular Disease,,c,,c,1158.7155847393503
64,2013,S08000025,"",75plus years,"",Females,"",Cerebrovascular Disease,,c,,c,777.2435897435897
65,2013,S08000026,"",0-44 years,"",Males,"",Cerebrovascular Disease,0,"",0,"",0
66,2013,S08000026,"",0-44 years,"",Females,"",Cerebrovascular Disease,,c,,c,17.067759003242873
67,2013,S08000026,"",45-64 years,"",Males,"",Cerebrovascular Disease,0,"",0,"",0
68,2013,S08000026,"",45-64 years,"",Females,"",Cerebrovascular Disease,,c,,c,30.432136335970785
69,2013,S08000026,"",65-74 years,"",Males,"",Cerebrovascular Disease,,c,,c,91.39932364500504
70,2013,S08000026,"",65-74 years,"",Females,"",Cerebrovascular Disease,,c,,c,84.7588226229003
71,2013,S08000026,"",75plus years,"",Males,"",Cerebrovascular Disease,,c,,c,1595.0670162687456
72,2013,S08000026,"",75plus years,"",Females,"",Cerebrovascular Disease,,c,,c,624.7720115525302
73,2013,S08000028,"",0-44 years,"",Males,"",Cerebrovascular Disease,0,"",0,"",0
74,2013,S08000028,"",0-44 years,"",Females,"",Cerebrovascular Disease,0,"",0,"",0
75,2013,S08000028,"",45-64 years,"",Males,"",Cerebrovascular Disease,0,"",0,"",0
76,2013,S08000028,"",45-64 years,"",Females,"",Cerebrovascular Disease,0,"",0,"",0
77,2013,S08000028,"",65-74 years,"",Males,"",Cerebrovascular Disease,,c,,c,133.01409949454643
78,2013,S08000028,"",65-74 years,"",Females,"",Cerebrovascular Disease,,c,,c,118.75074219213872
79,2013,S08000028,"",75plus years,"",Males,"",Cerebrovascular Disease,,c,,c,791.9255169729693
80,2013,S08000028,"",75plus years,"",Females,"",Cerebrovascular Disease,,c,,c,492.1362072893225
81,2013,S08000029,"",0-44 years,"",Males,"",Cerebrovascular Disease,1,"",1.02839395715711,"",1.0315081533351604
82,2013,S08000029,"",0-44 years,"",Females,"",Cerebrovascular Disease,0,"",0,"",0
83,2013,S08000029,"",45-64 years,"",Males,"",Cerebrovascular Disease,6,"",12.0233252509869,"",12.168966947253388
84,2013,S08000029,"",45-64 years,"",Females,"",Cerebrovascular Disease,8,"",15.2709641705003,"",15.71520146475806
85,2013,S08000029,"",65-74 years,"",Males,"",Cerebrovascular Disease,16,"",85.8184938854323,"",90.75688411052386
86,2013,S08000029,"",65-74 years,"",Females,"",Cerebrovascular Disease,23,"",112.911143838979,"",117.25729148273912
87,2013,S08000029,"",75plus years,"",Males,"",Cerebrovascular Disease,94,"",771.44029544522,"",928.2637268906838
88,2013,S08000029,"",75plus years,"",Females,"",Cerebrovascular Disease,168,"",942.866763946571,"",933.7766927266056
89,2013,S08000030,"",0-44 years,"",Males,"",Cerebrovascular Disease,1,"",0.918560432090827,"",1.2422580702408206
90,2013,S08000030,"",0-44 years,"",Females,"",Cerebrovascular Disease,0,"",0,"",0
91,2013,S08000030,"",45-64 years,"",Males,"",Cerebrovascular Disease,8,"",14.5547166378605,"",14.63037080907569
92,2013,S08000030,"",45-64 years,"",Females,"",Cerebrovascular Disease,6,"",10.4166666666667,"",10.293007250774252
93,2013,S08000030,"",65-74 years,"",Males,"",Cerebrovascular Disease,20,"",96.0522524253194,"",101.03279243254364
94,2013,S08000030,"",65-74 years,"",Females,"",Cerebrovascular Disease,23,"",99.5757208416313,"",101.97099728364005
95,2013,S08000030,"",75plus years,"",Males,"",Cerebrovascular Disease,111,"",723.36265884653,"",832.118057229252
96,2013,S08000030,"",75plus years,"",Females,"",Cerebrovascular Disease,202,"",882.597107528291,"",841.6842718995692
97,2013,S08000031,"",0-44 years,"",Males,"",Cerebrovascular Disease,3,"",0.925454629586784,"",0.9067599433228388
98,2013,S08000031,"",0-44 years,"",Females,"",Cerebrovascular Disease,6,"",1.83983049028416,"",1.7983656477140173
99,2013,S08000031,"",45-64 years,"",Males,"",Cerebrovascular Disease,43,"",29.4617408463056,"",30.87691666540416
100,2013,S08000031,"",45-64 years,"",Females,"",Cerebrovascular Disease,41,"",26.0772777866115,"",27.41976495009956
101,2013,S08000031,"",65-74 years,"",Males,"",Cerebrovascular Disease,84,"",184.416781927155,"",194.66486457100768
102,2013,S08000031,"",65-74 years,"",Females,"",Cerebrovascular Disease,61,"",115.563133465947,"",118.8184981635046
103,2013,S08000031,"",75plus years,"",Males,"",Cerebrovascular Disease,243,"",755.174342718628,"",856.4694901050095
104,2013,S08000031,"",75plus years,"",Females,"",Cerebrovascular Disease,506,"",937.922853064932,"",929.8063762665338
105,2013,S08000032,"",0-44 years,"",Males,"",Cerebrovascular Disease,3,"",1.6798347042651,"",1.9405706449073572
106,2013,S08000032,"",0-44 years,"",Females,"",Cerebrovascular Disease,5,"",2.77720690746902,"",2.7039337686478655
107,2013,S08000032,"",45-64 years,"",Males,"",Cerebrovascular Disease,27,"",30.3490136570561,"",30.53887810433767
108,2013,S08000032,"",45-64 years,"",Females,"",Cerebrovascular Disease,15,"",15.7695542472666,"",16.496727163751608
109,2013,S08000032,"",65-74 years,"",Males,"",Cerebrovascular Disease,41,"",141.667530493072,"",149.16697554021144
110,2013,S08000032,"",65-74 years,"",Females,"",Cerebrovascular Disease,33,"",99.0752972258917,"",100.50304385015572
111,2013,S08000032,"",75plus years,"",Males,"",Cerebrovascular Disease,133,"",722.041259500543,"",839.3538415608022
112,2013,S08000032,"",75plus years,"",Females,"",Cerebrovascular Disease,238,"",814.789455665868,"",839.6975165094656
113,2013,S92000003,d,0-44 years,"",Males,"",Cerebrovascular Disease,23,"",1.57844205024524,"",1.708488919396408
114,2013,S92000003,d,0-44 years,"",Females,"",Cerebrovascular Disease,20,"",1.3701586301154,"",1.3773791825982191
115,2013,S92000003,d,45-64 years,"",Males,"",Cerebrovascular Disease,164,"",22.9601836814695,"",23.382979802972912
116,2013,S92000003,d,45-64 years,"",Females,"",Cerebrovascular Disease,137,"",18.273878757483,"",18.70712609437996
117,2013,S92000003,d,65-74 years,"",Males,"",Cerebrovascular Disease,307,"",124.29552374166,"",129.61120690925705
118,2013,S92000003,d,65-74 years,"",Females,"",Cerebrovascular Disease,275,"",99.8873996585667,"",103.09408612088812
119,2013,S92000003,d,75plus years,"",Males,"",Cerebrovascular Disease,1282,"",761.848165205764,"",876.8996174353668
120,2013,S92000003,d,75plus years,"",Females,"",Cerebrovascular Disease,2244,"",875.464749279224,"",856.8299083848549
121,2014,S08000015,"",0-44 years,"",Males,"",Cerebrovascular Disease,2,"",2.1906764808973,"",2.4713126463649795
122,2014,S08000015,"",0-44 years,"",Females,"",Cerebrovascular Disease,1,"",1.06761185903253,"",1.0646906009113752
123,2014,S08000015,"",45-64 years,"",Males,"",Cerebrovascular Disease,9,"",17.3973556019485,"",17.29776437617006
124,2014,S08000015,"",45-64 years,"",Females,"",Cerebrovascular Disease,11,"",19.5163493781381,"",19.550722991933927
125,2014,S08000015,"",65-74 years,"",Males,"",Cerebrovascular Disease,23,"",110.651399980756,"",114.66582964253338
126,2014,S08000015,"",65-74 years,"",Females,"",Cerebrovascular Disease,23,"",98.8439554772444,"",101.92149326095893
127,2014,S08000015,"",75plus years,"",Males,"",Cerebrovascular Disease,96,"",689.506571859513,"",803.6933409690805
128,2014,S08000015,"",75plus years,"",Females,"",Cerebrovascular Disease,168,"",835.654596100279,"",812.820118702459
129,2014,S08000016,"",0-44 years,"",Males,"",Cerebrovascular Disease,1,"",3.83567949062176,"",4.882471925786427
130,2014,S08000016,"",0-44 years,"",Females,"",Cerebrovascular Disease,0,"",0,"",0
131,2014,S08000016,"",45-64 years,"",Males,"",Cerebrovascular Disease,2,"",11.6252034410602,"",11.727612664017428
132,2014,S08000016,"",45-64 years,"",Females,"",Cerebrovascular Disease,4,"",22.5428313796213,"",22.88056139730002
133,2014,S08000016,"",65-74 years,"",Males,"",Cerebrovascular Disease,4,"",55.8971492453885,"",53.62419901836259
134,2014,S08000016,"",65-74 years,"",Females,"",Cerebrovascular Disease,5,"",65.7375755982119,"",67.61932911491667
135,2014,S08000016,"",75plus years,"",Males,"",Cerebrovascular Disease,33,"",675.122749590835,"",722.2801167061231
136,2014,S08000016,"",75plus years,"",Females,"",Cerebrovascular Disease,61,"",913.173652694611,"",873.9558768442388
137,2014,S08000017,"",0-44 years,"",Males,"",Cerebrovascular Disease,1,"",2.90503442465793,"",2.930807814371007
138,2014,S08000017,"",0-44 years,"",Females,"",Cerebrovascular Disease,0,"",0,"",0
139,2014,S08000017,"",45-64 years,"",Males,"",Cerebrovascular Disease,5,"",22.8414801279123,"",22.217537596032138
140,2014,S08000017,"",45-64 years,"",Females,"",Cerebrovascular Disease,5,"",21.4850464077002,"",21.719223484396913
141,2014,S08000017,"",65-74 years,"",Males,"",Cerebrovascular Disease,6,"",62.214848610535,"",64.98909474200072
142,2014,S08000017,"",65-74 years,"",Females,"",Cerebrovascular Disease,8,"",78.1097441905878,"",80.44701310423119
143,2014,S08000017,"",75plus years,"",Males,"",Cerebrovascular Disease,52,"",757.13453698311,"",961.3474973841844
144,2014,S08000017,"",75plus years,"",Females,"",Cerebrovascular Disease,82,"",907.9836120031,"",891.2854664210467
145,2014,S08000019,"",0-44 years,"",Males,"",Cerebrovascular Disease,0,"",0,"",0
146,2014,S08000019,"",0-44 years,"",Females,"",Cerebrovascular Disease,0,"",0,"",0
147,2014,S08000019,"",45-64 years,"",Males,"",Cerebrovascular Disease,4,"",9.6515780330084,"",9.8660841922934015
148,2014,S08000019,"",45-64 years,"",Females,"",Cerebrovascular Disease,8,"",18.5451342204089,"",18.667126600130963
149,2014,S08000019,"",65-74 years,"",Males,"",Cerebrovascular Disease,11,"",75.3269876052866,"",76.04602229715148
150,2014,S08000019,"",65-74 years,"",Females,"",Cerebrovascular Disease,14,"",87.0863398855437,"",89.70479490547635
151,2014,S08000019,"",75plus years,"",Males,"",Cerebrovascular Disease,74,"",772.200772200772,"",949.4494877627604
152,2014,S08000019,"",75plus years,"",Females,"",Cerebrovascular Disease,125,"",899.021864211738,"",903.9901391956796
153,2014,S08000020,"",0-44 years,"",Males,"",Cerebrovascular Disease,4,"",2.39615656486995,"",2.6268028123007707
154,2014,S08000020,"",0-44 years,"",Females,"",Cerebrovascular Disease,3,"",1.85548264195988,"",1.9202493032238248
155,2014,S08000020,"",45-64 years,"",Males,"",Cerebrovascular Disease,12,"",15.3842209174124,"",15.692445622314292
156,2014,S08000020,"",45-64 years,"",Females,"",Cerebrovascular Disease,8,"",10.1857628499764,"",10.521279691339531
157,2014,S08000020,"",65-74 years,"",Males,"",Cerebrovascular Disease,24,"",90.0900900900901,"",94.61742980303114
158,2014,S08000020,"",65-74 years,"",Females,"",Cerebrovascular Disease,25,"",88.0250695398049,"",89.59508336019546
159,2014,S08000020,"",75plus years,"",Males,"",Cerebrovascular Disease,132,"",731.747879594213,"",818.758714814731
160,2014,S08000020,"",75plus years,"",Females,"",Cerebrovascular Disease,232,"",892.994611239415,"",855.5107760519668
161,2014,S08000022,"",0-44 years,"",Males,"",Cerebrovascular Disease,2,"",2.52608179452851,"",2.9173272591107375
162,2014,S08000022,"",0-44 years,"",Females,"",Cerebrovascular Disease,1,"",1.30451230807363,"",1.5177336334109546
163,2014,S08000022,"",45-64 years,"",Males,"",Cerebrovascular Disease,11,"",23.463663317762,"",23.169459917406165
164,2014,S08000022,"",45-64 years,"",Females,"",Cerebrovascular Disease,7,"",14.3245953301819,"",14.312182121114686
165,2014,S08000022,"",65-74 years,"",Males,"",Cerebrovascular Disease,19,"",99.6590611067401,"",103.1360467562683
166,2014,S08000022,"",65-74 years,"",Females,"",Cerebrovascular Disease,12,"",59.6036358217851,"",61.654050829731
167,2014,S08000022,"",75plus years,"",Males,"",Cerebrovascular Disease,90,"",729.040097205346,"",830.0423017413119
168,2014,S08000022,"",75plus years,"",Females,"",Cerebrovascular Disease,165,"",937.074057246706,"",897.7162568009767
169,2014,S08000024,"",0-44 years,"",Males,"",Cerebrovascular Disease,1,"",0.400014400518419,"",0.4346778540326928
170,2014,S08000024,"",0-44 years,"",Females,"",Cerebrovascular Disease,4,"",1.58085271195283,"",1.544112445329656
171,2014,S08000024,"",45-64 years,"",Males,"",Cerebrovascular Disease,17,"",15.7914781752483,"",16.526155798188267
172,2014,S08000024,"",45-64 years,"",Females,"",Cerebrovascular Disease,23,"",20.6440957886045,"",21.146713342523128
173,2014,S08000024,"",65-74 years,"",Males,"",Cerebrovascular Disease,34,"",97.3431058176821,"",106.6021262181632
174,2014,S08000024,"",65-74 years,"",Females,"",Cerebrovascular Disease,29,"",73.5461946184474,"",74.69046555155994
175,2014,S08000024,"",75plus years,"",Males,"",Cerebrovascular Disease,169,"",689.373852743218,"",765.6947609244629
176,2014,S08000024,"",75plus years,"",Females,"",Cerebrovascular Disease,310,"",834.185458263818,"",794.4034171410642
177,2014,S08000025,"",0-44 years,"",Males,"",Cerebrovascular Disease,0,"",0,"",0
178,2014,S08000025,"",0-44 years,"",Females,"",Cerebrovascular Disease,0,"",0,"",0
179,2014,S08000025,"",45-64 years,"",Males,"",Cerebrovascular Disease,,c,,c,29.514071887846523
180,2014,S08000025,"",45-64 years,"",Females,"",Cerebrovascular Disease,,c,,c,31.316057308384877
181,2014,S08000025,"",65-74 years,"",Males,"",Cerebrovascular Disease,0,"",0,"",0
182,2014,S08000025,"",65-74 years,"",Females,"",Cerebrovascular Disease,,c,,c,145.8470064901918
183,2014,S08000025,"",75plus years,"",Males,"",Cerebrovascular Disease,,c,,c,575.474367930681
184,2014,S08000025,"",75plus years,"",Females,"",Cerebrovascular Disease,,c,,c,376.64783427495297
185,2014,S08000026,"",0-44 years,"",Males,"",Cerebrovascular Disease,0,"",0,"",0
186,2014,S08000026,"",0-44 years,"",Females,"",Cerebrovascular Disease,0,"",0,"",0
187,2014,S08000026,"",45-64 years,"",Males,"",Cerebrovascular Disease,,c,,c,29.780264193486634
188,2014,S08000026,"",45-64 years,"",Females,"",Cerebrovascular Disease,,c,,c,92.768271591925
189,2014,S08000026,"",65-74 years,"",Males,"",Cerebrovascular Disease,,c,,c,160.9705417314481
190,2014,S08000026,"",65-74 years,"",Females,"",Cerebrovascular Disease,0,"",0,"",0
191,2014,S08000026,"",75plus years,"",Males,"",Cerebrovascular Disease,,c,,c,518.4321850988518
192,2014,S08000026,"",75plus years,"",Females,"",Cerebrovascular Disease,,c,,c,883.830515330917
193,2014,S08000028,"",0-44 years,"",Males,"",Cerebrovascular Disease,0,"",0,"",0
194,2014,S08000028,"",0-44 years,"",Females,"",Cerebrovascular Disease,0,"",0,"",0
195,2014,S08000028,"",45-64 years,"",Males,"",Cerebrovascular Disease,0,"",0,"",0
196,2014,S08000028,"",45-64 years,"",Females,"",Cerebrovascular Disease,0,"",0,"",0
197,2014,S08000028,"",65-74 years,"",Males,"",Cerebrovascular Disease,,c,,c,51.657743965436275
198,2014,S08000028,"",65-74 years,"",Females,"",Cerebrovascular Disease,0,"",0,"",0
199,2014,S08000028,"",75plus years,"",Males,"",Cerebrovascular Disease,,c,,c,802.0351799842596
200,2014,S08000028,"",75plus years,"",Females,"",Cerebrovascular Disease,,c,,c,829.2887755416223
201,2014,S08000029,"",0-44 years,"",Males,"",Cerebrovascular Disease,1,"",1.04146054426728,"",1.2898470609913395
202,2014,S08000029,"",0-44 years,"",Females,"",Cerebrovascular Disease,1,"",1.02683109655293,"",0.9097773774757316
203,2014,S08000029,"",45-64 years,"",Males,"",Cerebrovascular Disease,11,"",21.9758265907502,"",22.143817299360425
204,2014,S08000029,"",45-64 years,"",Females,"",Cerebrovascular Disease,8,"",15.1768098345728,"",15.409634845387057
205,2014,S08000029,"",65-74 years,"",Males,"",Cerebrovascular Disease,15,"",78.0274656679151,"",80.50500826296476
206,2014,S08000029,"",65-74 years,"",Females,"",Cerebrovascular Disease,9,"",42.7675346892226,"",44.691627663808696
207,2014,S08000029,"",75plus years,"",Males,"",Cerebrovascular Disease,72,"",570.79435547804,"",645.8313453925213
208,2014,S08000029,"",75plus years,"",Females,"",Cerebrovascular Disease,131,"",719.978015938445,"",696.8540386350331
209,2014,S08000030,"",0-44 years,"",Males,"",Cerebrovascular Disease,0,"",0,"",0
210,2014,S08000030,"",0-44 years,"",Females,"",Cerebrovascular Disease,0,"",0,"",0
211,2014,S08000030,"",45-64 years,"",Males,"",Cerebrovascular Disease,13,"",23.5729310219772,"",23.562551355081027
212,2014,S08000030,"",45-64 years,"",Females,"",Cerebrovascular Disease,10,"",17.2845907873131,"",17.299514788684114
213,2014,S08000030,"",65-74 years,"",Males,"",Cerebrovascular Disease,15,"",70.2971225044521,"",68.87996647681213
214,2014,S08000030,"",65-74 years,"",Females,"",Cerebrovascular Disease,14,"",59.3547293000382,"",58.56472248105885
215,2014,S08000030,"",75plus years,"",Males,"",Cerebrovascular Disease,94,"",595.917332319006,"",682.4270281526759
216,2014,S08000030,"",75plus years,"",Females,"",Cerebrovascular Disease,183,"",786.961382987873,"",731.0554941061984
217,2014,S08000031,"",0-44 years,"",Males,"",Cerebrovascular Disease,3,"",0.925115022634481,"",1.0992015342420025
218,2014,S08000031,"",0-44 years,"",Females,"",Cerebrovascular Disease,4,"",1.22864462068669,"",1.3641886202577955
219,2014,S08000031,"",45-64 years,"",Males,"",Cerebrovascular Disease,41,"",27.9207866851897,"",29.561830255131923
220,2014,S08000031,"",45-64 years,"",Females,"",Cerebrovascular Disease,25,"",15.7371270300894,"",16.420868628801845
221,2014,S08000031,"",65-74 years,"",Males,"",Cerebrovascular Disease,68,"",146.573836570172,"",153.46907879230187
222,2014,S08000031,"",65-74 years,"",Females,"",Cerebrovascular Disease,58,"",108.795558139971,"",109.71629886580308
223,2014,S08000031,"",75plus years,"",Males,"",Cerebrovascular Disease,206,"",626.959247648903,"",718.5100040969112
224,2014,S08000031,"",75plus years,"",Females,"",Cerebrovascular Disease,418,"",767.268121661558,"",746.8270608330175
225,2014,S08000032,"",0-44 years,"",Males,"",Cerebrovascular Disease,2,"",1.13145850658792,"",1.145947928126146
226,2014,S08000032,"",0-44 years,"",Females,"",Cerebrovascular Disease,2,"",1.12193781098714,"",1.2096390529552568
227,2014,S08000032,"",45-64 years,"",Males,"",Cerebrovascular Disease,18,"",20.0458827984052,"",20.767354256227343
228,2014,S08000032,"",45-64 years,"",Females,"",Cerebrovascular Disease,18,"",18.727955635554,"",19.23971950280488
229,2014,S08000032,"",65-74 years,"",Males,"",Cerebrovascular Disease,43,"",144.727541987816,"",155.65478832091202
230,2014,S08000032,"",65-74 years,"",Females,"",Cerebrovascular Disease,34,"",100.26540843409,"",102.44896314204333
231,2014,S08000032,"",75plus years,"",Males,"",Cerebrovascular Disease,144,"",759.493670886076,"",890.3429301466585
232,2014,S08000032,"",75plus years,"",Females,"",Cerebrovascular Disease,234,"",785.603975021822,"",805.7257633536909
233,2014,S92000003,d,0-44 years,"",Males,"",Cerebrovascular Disease,17,"",1.17070214582817,"",1.3026441286706396
234,2014,S92000003,d,0-44 years,"",Females,"",Cerebrovascular Disease,16,"",1.10022045667401,"",1.1394753321818831
235,2014,S92000003,d,45-64 years,"",Males,"",Cerebrovascular Disease,145,"",20.2108901851736,"",20.643394887009094
236,2014,S92000003,d,45-64 years,"",Females,"",Cerebrovascular Disease,131,"",17.3431602415333,"",17.616218488889274
237,2014,S92000003,d,65-74 years,"",Males,"",Cerebrovascular Disease,265,"",104.402639613907,"",109.47276947874032
238,2014,S92000003,d,65-74 years,"",Females,"",Cerebrovascular Disease,233,"",82.8041096425919,"",84.46895865394853
239,2014,S92000003,d,75plus years,"",Males,"",Cerebrovascular Disease,1178,"",680.334969679469,"",781.2973458108868
240,2014,S92000003,d,75plus years,"",Females,"",Cerebrovascular Disease,2139,"",822.413952200794,"",797.8291987692986
241,2015,S08000015,"",0-44 years,"",Males,"",Cerebrovascular Disease,3,"",3.31737308283481,"",3.669395947774483
242,2015,S08000015,"",0-44 years,"",Females,"",Cerebrovascular Disease,1,"",1.08049702863317,"",1.2761333887539834
243,2015,S08000015,"",45-64 years,"",Males,"",Cerebrovascular Disease,8,"",15.4514727184935,"",15.318465974730683
244,2015,S08000015,"",45-64 years,"",Females,"",Cerebrovascular Disease,12,"",21.1546936976642,"",21.161539403929208
245,2015,S08000015,"",65-74 years,"",Males,"",Cerebrovascular Disease,28,"",132.400226971818,"",133.3909244268021
246,2015,S08000015,"",65-74 years,"",Females,"",Cerebrovascular Disease,24,"",102.123313901536,"",104.26824416568792
